ID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,chi2MatchMCHMFT,isPrompt
418178,-3.23733,0.191438,2.44129,-2.79083,211,11,3,9.11006,0.168945,2.53125,-1,0
418178,-3.19829,0.383198,4.70018,-2.63974,211,11,0,9.11006,7.90625,2.53125,1.32812,0
461025,-3.72366,0.514767,10.666,-2.76978,211,11,3,45.7122,0.114746,0.742188,-1,1
461025,-3.1065,1.10145,12.3292,-3.01141,211,11,0,45.712,9600,0.742188,228,1
462613,-2.91979,0.788678,7.33127,-2.36768,211,11,3,39.438,0.0805664,0.445312,-1,1
462613,-2.88576,1.07577,9.6674,-2.36649,211,11,0,39.438,159,0.445312,9.8125,1
463350,-3.20951,0.355494,4.40943,0.886499,321,12,3,93.1425,0.104492,3.03125,-1,1
463350,-3.31283,0.986275,13.5608,0.76782,321,12,0,93.1425,8160,3.03125,27.75,1
471057,-2.88241,0.340567,3.05033,2.98291,321,11,3,68.3591,0.292969,0.488281,-1,1
471057,-2.85732,1.00404,8.77147,2.41153,321,11,0,68.3591,11456,0.488281,85,1
526490,-2.57484,1.27383,8.41066,-1.54448,321,10,2,70.1348,6400,-1,20,1
526490,-2.78672,0.210917,1.71784,-2.71356,321,10,4,70.1348,0.172852,-1,-1,1
559231,-3.18482,0.88352,10.6925,0.576151,223,10,3,61.0975,0.102539,0.648438,-1,1
559231,-3.13755,1.14421,13.2104,0.374387,223,10,0,61.0975,22.875,0.648438,7.25,1
561553,-2.76426,0.335188,2.66982,0.0787271,211,10,3,132.241,0.107422,2,-1,1
561553,-3.30028,0.716961,9.73533,0.226534,211,10,0,132.241,38.5,2,13.0625,1
646684,-4.2279,0.105447,3.61619,0.151271,211,10,3,26.8609,0.34375,0.199219,-1,0
646684,-5.03883,0.195141,15.0547,3.26735,211,10,0,26.8609,786432,0.199219,16.25,0
840200,-2.93359,0.303767,2.86272,-2.55687,211,10,3,54.7701,0.203125,2.59375,-1,0
840200,-2.85464,0.702935,6.12456,-2.76442,211,10,0,54.7701,11.1875,2.59375,4.53125,0
869497,-2.25102,0.445217,2.13764,-0.7424,321,8,3,59.0418,0.1875,1.35156,-1,1
869497,-2.543,0.685982,4.38906,-0.345478,321,8,0,59.0418,19.5,1.35156,11.0625,1
909660,-2.71797,0.640851,4.87545,2.29961,211,11,3,78.2937,0.168945,0.355469,-1,1
909660,-2.74362,0.943235,7.36075,2.4056,211,11,0,78.2937,209,0.355469,35.25,1
946173,-3.96969,0.588294,15.5859,1.25897,211,10,3,86.8418,0.210938,0.172852,-1,1
946173,10.2812,0.0355531,518.68,25.1522,211,10,0,86.8418,9.24058e+06,0.172852,340,1
995442,-3.74541,0.126733,2.68357,-0.14861,211,11,3,65.4854,0.25,0.246094,-1,1
995442,-2.79858,1.00104,8.24963,0.497223,211,11,0,65.4854,8.12646e+06,0.246094,7.34375,1
1028358,-3.05087,0.767688,8.13023,1.96885,211,11,2,76.1908,2976,-1,12.25,0
1028358,-2.70709,0.207834,1.5642,2.35135,211,11,4,76.1908,0.542969,-1,-1,0
1096341,-3.21156,0.321079,3.99068,2.93596,211,11,3,59.4353,0.0791016,0.808594,-1,1
1096341,-3.41271,0.393998,5.98491,2.8806,211,11,0,59.4353,175,0.808594,28.25,1
1117825,-2.57969,0.85897,5.69875,2.46125,211,10,3,31.5023,0.236328,0.375,-1,1
1117825,-2.48184,1.49203,8.98712,2.20439,211,10,0,31.5023,16,0.375,2.60938,1
1167934,-2.57335,1.26488,8.33937,-2.37244,411,9,3,61.8944,0.209961,0.605469,-1,1
1167934,-2.47873,2.3374,14.0361,-2.30592,411,9,0,61.8944,18.125,0.605469,3.0625,1
1230975,-3.62936,0.181143,3.41591,-2.72807,211,10,3,83.96,0.232422,0.554688,-1,0
1230975,-3.53263,0.910222,15.5844,-2.96973,211,10,0,83.96,26624,0.554688,11.625,0
1262348,-2.5866,0.240038,1.60343,-1.76673,211,10,2,57.4255,278528,-1,4.75,1
1262348,-3.50402,0.161974,2.69516,-2.677,211,10,4,57.4255,0.22168,-1,-1,1
140992,-2.62636,0.328521,2.28251,1.107,211,11,3,47.1197,0.296875,1.95312,-1,1
140992,-2.76706,0.560673,4.47826,0.793795,211,11,0,47.1197,89.5,1.95312,28.625,1
253211,-2.54029,0.357074,2.27852,-2.23103,321,12,3,60.0857,0.291016,3.89062,-1,1
253211,-2.56145,0.704143,4.58814,-1.94017,321,12,0,60.0857,1672,3.89062,58.5,1
471699,-2.92573,0.531224,4.96733,1.92999,211,11,3,135.143,0.109863,1.625,-1,1
471699,-3.4992,0.58703,9.72094,2.00572,211,11,0,135.143,11.25,1.625,13.4375,1
527586,-2.41582,0.741626,4.18581,-1.42836,211,9,2,53.1018,99840,-1,4.34375,0
527586,-3.64151,0.105807,2.01962,0.411058,211,9,4,53.1018,0.144531,-1,-1,0
552810,-3.03099,0.436441,4.53156,3.05312,211,11,3,89.8784,0.213867,1.64062,-1,1
552810,-3.22457,0.763182,9.60945,-3.07536,211,11,0,89.8784,1552,1.64062,27.625,1
578134,-2.90928,0.51309,4.71994,-1.21851,211,11,3,54.3363,0.139648,0.326172,-1,1
578134,-3.15618,0.597607,7.02883,-1.4429,211,11,0,54.3363,8.4375,0.326172,6.25,1
591172,-2.66993,0.541155,3.92558,0.881561,321,11,2,19.408,12.4375,-1,2.5,1
591172,-2.56217,0.263969,1.72121,1.02456,321,11,4,19.408,0.19043,-1,-1,1
635288,-3.21921,0.462668,5.79452,-1.49496,130,10,2,26.8518,7008,-1,24.875,0
635288,-3.4404,0.16874,2.63501,-1.27625,130,10,4,26.8518,0.209961,-1,-1,0
675316,-3.58654,0.164024,2.96362,0.402193,321,11,3,21.5369,0.0737305,0.917969,-1,1
675316,-8.1681,0.102451,180.655,-6.2296,321,11,0,21.5369,6.35699e+06,0.917969,82,1
681865,-3.48844,0.331124,5.42468,-0.619674,211,11,3,47.784,0.582031,0.742188,-1,1
681865,-3.42524,0.515707,7.93219,0.1836,211,11,0,47.784,306,0.742188,64,1
705480,-3.50519,0.286614,4.77468,-1.86938,211,12,3,24.5503,0.194336,1.25,-1,0
705480,-3.71455,0.356236,7.31429,-1.84268,211,12,0,24.5503,38.75,1.25,2.95312,0
818174,-4.07156,0.23355,6.85064,2.1809,211,9,3,77.698,0.0441895,0.441406,-1,1
818174,-3.35954,0.707121,10.1864,2.67384,211,9,0,77.698,1472,0.441406,10.875,1
825936,5.81244,0.207434,34.6868,0.72711,130,9,2,24.9856,8.12646e+06,-1,10.75,1
825936,-3.23775,0.145724,1.85911,3.02676,130,9,4,24.9856,1.05469,-1,-1,1
1007101,-2.27135,0.403229,1.97495,1.9942,211,10,3,103.225,0.25,0.886719,-1,1
1007101,-2.9128,0.582521,5.37745,2.27649,211,10,0,103.225,82.5,0.886719,26.625,1
1063551,-2.7733,0.382054,3.07054,0.314723,321,10,3,88.1833,0.361328,2.9375,-1,1
1063551,-2.95681,0.603685,5.82209,0.599025,321,10,0,88.1833,1152,2.9375,17.875,1
1281973,-3.2931,0.325312,4.38576,1.50088,321,10,2,113.957,1016,-1,36.75,1
1281973,-2.32545,0.3076,1.5886,1.16079,321,10,4,113.957,0.125,-1,-1,1
1376585,-2.77186,0.480751,3.85823,2.6426,211,12,3,185.696,0.345703,2.34375,-1,1
1376585,-3.37185,0.589098,8.59107,3.00466,211,12,0,185.696,39,2.34375,23.5,1
1393755,-2.7965,0.533542,4.3879,-2.09723,211,10,3,162.033,0.279297,1.21875,-1,0
1393755,-3.28139,0.765894,10.2057,-2.22916,211,10,0,162.033,48.5,1.21875,13,0
1417508,-3.28826,0.542517,7.2788,-1.29686,211,10,3,112.416,0.124512,0.320312,-1,1
1417508,-3.73903,0.621124,13.0687,-1.39087,211,10,0,112.416,29,0.320312,6.9375,1
1422119,-3.38296,0.995746,14.6831,0.928403,321,10,3,74.6001,0.0800781,0.8125,-1,1
1422119,-3.48105,1.03933,16.9018,1.00817,321,10,0,74.6001,57,0.8125,47.75,1
1427968,-3.19775,0.283303,3.47304,-2.0568,411,11,3,85.7499,0.960938,0.667969,-1,1
1427968,-3.4756,0.390877,6.32206,-2.84963,411,11,0,85.7499,15.3125,0.667969,9.3125,1
1439091,-2.37062,0.378383,2.04279,0.973936,211,11,3,49.8817,0.40625,1.71094,-1,1
1439091,-2.71079,0.611526,4.61934,1.03043,211,11,0,49.8817,38,1.71094,5.3125,1
1492680,-3.33424,0.225874,3.17271,2.97951,321,10,3,31.5465,0.192383,3.73438,-1,1
1492680,-3.20531,0.456226,5.63523,2.95309,321,10,0,31.5465,245,3.73438,16.875,1
1504303,-2.84814,0.438403,3.79518,2.52282,211,11,3,9.90254,0.148438,1.8125,-1,1
1504303,-2.8129,0.736823,6.15919,2.31887,211,11,0,9.90254,17.5,1.8125,3.03125,1
1606436,-3.32346,0.335765,4.66585,1.11147,211,9,2,64.3052,584,-1,11.75,1
1606436,-2.94594,0.152483,1.45478,2.70377,211,9,4,64.3052,0.353516,-1,-1,1
1645483,-3.69575,0.112527,2.26746,-0.0128782,211,13,3,31.0765,0.154297,1.89062,-1,1
1645483,-3.35094,0.510341,7.28888,-0.405636,211,13,0,31.0765,143360,1.89062,9.375,1
1659616,-3.62073,0.568376,10.6262,-0.594257,411,10,3,7.75139,0.0664062,0.490234,-1,1
1659616,-3.43773,0.834301,12.9935,-0.36725,411,10,0,7.75139,860,0.490234,75,1
57408,-3.11669,0.623392,7.04931,-2.32451,211,10,3,64.75,0.0708008,0.248047,-1,1
57408,-3.03287,0.925127,9.62358,-2.62952,211,10,0,64.75,183,0.248047,21.5,1
63298,-3.36324,0.293704,4.24658,2.66685,411,10,3,70.8616,0.165039,3.10938,-1,1
63298,10.9901,0.0306257,907.798,-31.4767,411,10,0,70.8616,1.95297e+07,3.10938,286,1
67188,-3.09156,0.628365,6.92985,1.78501,421,10,3,34.2785,0.196289,1.29688,-1,1
67188,-3.05135,0.884379,9.37054,1.68447,421,10,0,34.2785,8.9375,1.29688,3.59375,1
92461,-3.28722,0.4537,6.08086,2.44605,211,11,3,32.5142,0.0800781,0.875,-1,1
92461,-3.08692,0.768769,8.4392,2.0625,211,11,0,32.5142,239,0.875,60.25,1
98576,-3.35351,0.665962,9.53587,0.598875,211,11,3,43.1047,0.138672,0.341797,-1,1
98576,-3.37108,0.815936,11.89,1.06462,211,11,0,43.1047,700,0.341797,223,1
198451,-3.79166,0.131064,2.90651,2.43595,211,10,3,61.9422,0.240234,0.726562,-1,1
198451,-4.0428,0.136044,3.87746,2.24985,211,10,0,61.9422,261120,0.726562,16,1
199860,-2.99496,0.643115,6.44229,0.431991,321,10,3,49.9286,0.0549316,0.302734,-1,1
199860,-2.97602,0.901607,8.86306,0.22907,321,10,0,49.9286,12.9375,0.302734,5.0625,1
203957,-3.06722,0.382947,4.12217,-0.479206,211,10,3,98.5292,0.114746,1.67188,-1,0
203957,-3.5388,0.555126,9.56336,-1.03965,211,10,0,98.5292,222,1.67188,21,0
221203,-2.93517,0.499208,4.71196,-2.37698,211,9,2,54.2303,356,-1,11.5,0
221203,-2.8074,0.138989,1.15549,-1.67215,211,9,4,54.2303,0.820312,-1,-1,0
245921,-3.12591,1.53566,17.5255,2.94511,211,10,3,16.3437,0.0466309,0.996094,-1,1
245921,-3.11308,1.79787,20.2573,2.91236,211,10,0,16.3437,10.6875,0.996094,4.34375,1
299357,-2.89492,0.312839,2.83705,-1.86946,211,9,3,37.6998,3.32812,6.53125,-1,1
299357,-2.95415,0.53375,5.13403,-2.15941,211,9,0,37.6998,148,6.53125,50.5,1
368408,-4.44896,0.16664,7.12796,-0.191468,411,10,3,67.589,0.109863,1.15625,-1,0
368408,-3.5841,0.641353,11.56,-0.172038,411,10,0,67.589,2688,1.15625,6.375,0
392436,-3.49728,0.425073,7.02555,-1.72188,211,12,3,39.3248,0.186523,0.396484,-1,1
392436,-3.34632,0.670541,9.53281,-1.72844,211,12,0,39.3248,9.3125,0.396484,2.95312,1
589779,-2.7275,0.389021,2.98768,-0.206018,321,10,3,146.889,0.292969,2.79688,-1,1
