ID,eta,pt,p,phi,motherPDG,nClusters,pDca,chi2,chi2MatchMCHMID,chi2MatchMCHMFT,isPrompt
1140946,-3.38823,0.305626,4.53048,2.49911,211,9,132.399,0.380859,1.02344,-1,1
494384,-2.95906,0.73484,7.10288,-0.353408,321,10,84.5712,0.208008,0.640625,-1,1
566202,-2.52619,0.363153,2.28527,-2.12779,211,9,119.795,0.335938,3.20312,-1,1
592902,-2.97914,0.476778,4.70146,-2.79765,211,10,78.7679,0.0717773,1.21875,-1,1
609130,-3.49639,1.18707,19.6024,-2.46854,211,10,174.671,0.306641,1.39844,-1,1
719147,-3.38956,0.325312,4.8287,-2.84465,321,12,57.3607,0.167969,1.49219,-1,1
804416,-3.1827,0.324667,3.92088,1.0314,211,11,55.797,0.15918,1.89062,-1,1
909295,-2.88168,0.813182,7.27806,-2.46792,321,12,59.1592,0.0490723,0.8125,-1,1
928232,-3.68501,0.637311,12.705,3.04148,211,10,68.0516,0.103027,0.273438,-1,1
930981,-3.36752,0.26201,3.80453,0.74373,211,10,100.718,0.0859375,0.333984,-1,1
934061,-3.12444,1.91268,21.796,-2.88874,211,10,84.8735,0.0532227,0.100098,-1,1
1033620,-2.87123,0.377755,3.34603,-2.82084,321,11,117.654,0.289062,1.09375,-1,1
1174825,-3.94949,0.443482,11.5146,-2.8604,321,10,33.2554,0.140625,0.890625,-1,1
1176458,-4.25576,0.0659072,2.32404,0.294869,211,9,65.9104,0.21875,4.34375,-1,1
1245403,-2.69367,0.831,6.17164,-1.84099,211,12,37.6707,0.0942383,1.09375,-1,1
1324368,-3.53003,0.172115,2.93924,-2.68099,321,10,29.2394,0.257812,1.92188,-1,1
1370685,-2.83534,0.515512,4.40633,-0.134743,321,8,153.217,0.582031,0.361328,-1,1
1444696,-3.06201,0.263731,2.8242,2.67067,321,10,57.6519,0.103027,0.349609,-1,1
1485171,-3.04184,0.340426,3.57302,3.128,321,10,102.379,0.0864258,0.894531,-1,1
1564714,-3.8683,0.29124,6.97253,1.34356,321,11,24.8515,0.408203,0.691406,-1,1
1579781,-2.52848,0.765464,4.82784,-1.77693,321,10,38.583,0.11377,0.933594,-1,1
1630679,-3.30396,0.424236,5.78172,0.0759988,211,11,83.236,0.102539,2.14062,-1,1
257386,-3.23721,0.358199,4.56737,1.25108,211,11,86.1063,0.474609,0.244141,-1,1
294850,-2.91958,0.409191,3.8029,-2.70499,211,12,79.9561,0.139648,3.8125,-1,1
335092,-2.83592,0.599488,5.12702,-0.414751,211,10,38.7929,0.142578,0.249023,-1,1
393288,-3.03202,0.247792,2.57547,-0.645317,211,10,64.3741,0.353516,0.839844,-1,1
516085,-3.24979,0.218407,2.82003,-2.75887,211,12,52.6126,0.503906,3.92188,-1,0
557083,-3.21616,0.369575,4.61457,-1.98651,321,11,74.7262,0.0559082,0.636719,-1,1
576726,-3.26195,0.576293,7.53177,1.95371,321,12,49.8749,0.134766,1.28125,-1,1
588021,-2.76423,0.687479,5.47569,-2.17199,211,10,42.6805,0.0991211,2.23438,-1,0
845669,-3.29024,0.317914,4.2738,2.39703,211,12,39.5372,0.201172,2,-1,1
882668,-3.31013,0.267817,3.67247,-2.81029,211,10,113.364,0.182617,1.38281,-1,1
899438,-2.85892,0.593494,5.19305,-0.212411,211,10,168.327,0.173828,1.78906,-1,0
1015224,-2.99623,0.466994,4.68392,2.44208,211,11,25.3485,0.308594,0.605469,-1,0
1021152,-3.01542,0.328442,3.35777,-2.5223,211,11,155.926,0.241211,0.249023,-1,1
1064473,-2.76599,0.654575,5.22272,0.343694,411,10,277.396,0.339844,0.9375,-1,1
1126788,-3.14884,0.631173,7.36955,1.94053,211,11,50.6432,0.351562,0.165039,-1,1
1134169,-3.40257,0.307346,4.62162,-2.53734,211,9,7.51038,0.108398,0.726562,-1,1
35065,-2.917,0.439014,4.06962,0.684546,211,10,77.9929,0.233398,0.972656,-1,1
86267,-3.75031,0.292071,6.21494,-0.836831,321,10,58.357,0.400391,1.21875,-1,1
94276,-3.79211,0.678146,15.0454,-2.58036,321,11,62.5073,0.106934,0.122559,-1,1
105860,-3.69179,0.480864,9.65134,2.86603,321,10,40.7619,0.0913086,1.6875,-1,1
144133,-2.54115,0.300249,1.91755,2.85802,321,10,106.473,0.396484,0.228516,-1,1
274420,-3.15383,0.201674,2.36646,-0.841824,211,10,68.8458,0.239258,2.95312,-1,1
310543,-2.76611,0.718281,5.73172,0.600926,211,12,233.163,0.129883,0.644531,-1,1
336128,-2.58398,0.447748,2.98318,2.38734,211,10,72.7158,0.15332,0.933594,-1,1
380211,-2.42495,0.501285,2.85484,-1.27826,211,10,52.9713,0.174805,0.59375,-1,1
396435,-3.05513,0.329711,3.50664,-2.15319,211,10,140.886,0.232422,1.34375,-1,1
416881,-3.21304,0.330856,4.11831,-2.59302,211,11,94.2396,0.237305,1.34375,-1,1
481072,-3.57329,0.240291,4.2846,1.91719,211,10,22.3726,0.229492,0.554688,-1,0
498910,-2.7727,0.676298,5.4321,0.986365,211,11,155.709,0.0625,1.77344,-1,0
527149,-2.70933,0.345392,2.60526,2.65734,211,10,52.1786,0.271484,0.789062,-1,0
632567,-3.32916,0.839947,11.7385,-1.37695,211,10,131.176,0.0578613,1.15625,-1,1
643217,-3.40812,0.78921,11.9335,1.77553,321,16,58.103,0.125977,1.57031,-1,1
650260,-2.90489,0.683921,6.26402,-0.279935,211,10,105.594,0.0986328,1.00781,-1,1
670745,-3.38659,0.613036,9.07259,-0.588403,211,10,87.8539,0.120605,0.695312,-1,1
690412,-3.31057,0.9858,13.5239,1.02221,421,13,99.9159,0.0683594,0.259766,-1,1
703163,-3.62609,0.152881,2.87358,-2.783,223,10,82.3331,0.457031,1.58594,-1,1
753322,-3.40154,0.32713,4.9141,2.41005,211,12,44.5145,0.341797,1,-1,1
809226,-2.63773,0.397593,2.79368,1.02816,211,11,27.5711,0.211914,2.17188,-1,1
857700,-3.12606,1.08994,12.4406,-3.14073,211,10,70.2024,0.224609,0.267578,-1,1
860679,-3.2302,0.29679,3.75799,-2.97029,211,10,92.5042,0.384766,2.23438,-1,1
881977,-3.34769,0.401293,5.71286,-0.276591,211,9,33.6675,0.0388184,0.703125,-1,1
948356,-2.8675,2.25986,19.9431,1.38831,321,10,109.958,0.09375,0.902344,-1,1
1039374,-2.94143,0.37021,3.5162,1.17768,211,10,7.8392,0.116699,0.617188,-1,1
1045246,-3.79731,0.405987,9.05422,2.71294,221,11,55.2552,0.208008,1.14844,-1,1
1088446,-2.88034,0.393695,3.51892,2.25374,211,10,86.8162,0.140625,4.09375,-1,1
1099269,-2.67342,0.977099,7.11252,1.40929,211,12,73.5542,0.101562,1,-1,1
1138365,-4.04118,0.137922,3.92464,0.859093,211,11,105.045,0.135742,0.667969,-1,1
1170778,-3.62237,0.484161,9.06659,2.9233,211,9,46.8866,0.0795898,0.347656,-1,1
1174352,-3.01619,0.261175,2.67211,0.8121,211,11,33.4529,0.118652,0.855469,-1,1
1225604,-3.91315,0.217087,5.43544,2.02991,211,11,29.3062,0.147461,0.455078,-1,1
1259974,-2.82032,0.676969,5.7007,-0.773961,321,10,75.0225,0.119141,0.835938,-1,1
1263747,-3.22045,0.275676,3.4569,2.14872,211,9,40.3441,0.34375,5,-1,0
135338,-2.7049,0.497994,3.73987,0.521761,321,10,30.2618,0.100586,0.835938,-1,1
239921,-3.04671,0.221645,2.33764,2.01068,321,10,75.9022,0.494141,2.04688,-1,1
416197,-3.46238,0.195588,3.12198,2.34367,113,12,70.041,0.160156,0.476562,-1,1
431997,-3.23076,0.6399,8.107,-2.72046,211,9,150.443,0.216797,2.1875,-1,1
509291,-3.29146,0.436209,5.87119,-2.08149,211,12,62.5619,0.119629,1.29688,-1,1
601905,-3.61879,0.220999,4.12378,0.587285,321,10,42.0023,0.236328,0.304688,-1,1
642648,-4.42897,0.057412,2.40719,-0.613612,321,10,80.548,0.18457,1.99219,-1,1
687859,-3.59424,0.387769,7.06038,-0.802461,321,10,27.6447,0.134766,1.26562,-1,1
704593,-3.31508,0.266441,3.6717,2.49521,211,11,57.9075,0.104004,0.894531,-1,1
789325,-2.00351,0.49397,1.86471,-1.34932,321,9,232.294,0.408203,6.5,-1,1
849289,-2.9101,0.713962,6.57314,-2.60905,211,9,163.473,0.291016,0.734375,-1,1
965667,-3.08534,1.41229,15.4791,2.63718,211,10,134.696,0.0449219,1.32031,-1,1
1009096,-3.97511,0.734577,19.5673,0.682735,431,10,69.8584,0.0766602,0.172852,-1,1
1034673,-3.19868,0.687306,8.43361,0.965432,211,11,52.8001,0.148438,0.373047,-1,0
1143457,-3.57635,0.502207,8.98216,2.53762,421,10,80.2499,0.0437012,0.515625,-1,1
1244551,-2.53056,0.310703,1.96367,-2.29502,321,11,5.86357,0.240234,0.384766,-1,1
1269984,-3.07139,0.293957,3.1774,-3.09005,421,11,68.5103,0.980469,2.28125,-1,1
1291740,-3.45496,0.484104,7.6703,1.88383,211,12,77.2528,0.102539,1.5,-1,1
1292550,-3.44279,0.139083,2.17708,-3.04222,321,11,21.666,0.119141,8.6875,-1,1
1293535,-2.56719,0.454052,2.97538,-0.906828,321,9,107.59,0.296875,3.125,-1,1
1299259,-3.16884,0.309576,3.68735,2.44127,211,11,23.4452,0.210938,0.980469,-1,1
1438047,-3.33894,0.561057,7.91786,-1.4094,411,11,46.689,0.182617,0.229492,-1,1
1464297,-2.0979,0.408009,1.68748,1.83288,211,10,143.962,0.349609,3.20312,-1,1
1476040,-2.87321,0.293431,2.60423,-2.84804,321,10,100.97,0.157227,1.875,-1,1
1479789,-3.21448,0.363669,4.53321,-0.639106,211,10,84.4509,0.283203,2.32812,-1,1
1550974,-3.68187,0.269031,5.34641,-0.598034,211,10,17.2017,0.0991211,0.157227,-1,0
1607718,-3.05334,0.266424,2.8285,0.856487,321,11,58.4548,0.380859,2.67188,-1,1
16941,-2.91932,0.27142,2.52184,-0.0700096,211,10,13.7968,0.382812,0.972656,-1,0
18023,-3.11892,3.18879,36.1386,-1.28223,421,10,123.124,0.0878906,0.742188,-1,1
42699,-3.44017,0.321154,5.0139,3.03533,211,10,71.8099,0.0864258,0.482422,-1,1
50481,-3.87046,0.271043,6.50301,1.20951,211,11,94.3494,0.112793,0.59375,-1,1
162781,-3.94173,0.106467,2.74297,2.84924,431,11,28.8583,0.142578,4.8125,-1,1
190297,-3.26919,0.181271,2.38625,-2.65376,211,10,2.58084,0.197266,0.367188,-1,1
207690,-3.04465,0.257238,2.70747,2.08044,411,10,66.0359,0.298828,0.957031,-1,1
328451,-3.43729,0.465613,7.24835,2.32294,211,10,41.8649,0.113281,0.660156,-1,1
547704,-3.13979,0.377233,4.36502,-0.868067,321,11,88.2235,0.0961914,3.29688,-1,1
559909,-3.3564,1.05127,15.0965,-2.01472,411,9,58.8258,0.024292,0.976562,-1,1
583017,-3.41853,0.302824,4.62673,-0.618146,321,10,25.0961,0.316406,1.89062,-1,1
610692,-3.30212,0.372228,5.06359,-2.13562,130,9,122.788,0.160156,0.298828,-1,0
632965,-3.28898,0.254806,3.42114,2.36592,211,9,77.1364,0.196289,0.675781,-1,1
647135,-4.19057,0.0826073,2.72915,1.60311,211,11,56.5842,0.0996094,1.13281,-1,1
662096,-3.0175,0.176278,1.80588,2.67757,211,10,47.3381,0.462891,1.9375,-1,1
730496,-3.53366,0.312457,5.35523,-1.0188,211,11,82.3916,0.0791016,1.03125,-1,1
787327,-2.95886,0.346502,3.34857,2.43296,211,10,86.8475,0.206055,0.773438,-1,1
963831,-3.57717,0.678483,12.1448,2.80362,211,12,156.328,0.158203,1.44531,-1,1
1012751,-2.51324,0.491658,3.05465,-2.75121,211,8,41.5976,0.154297,2.53125,-1,1
1099826,-3.3396,0.299437,4.22855,-0.160931,211,11,112.487,0.984375,1.71875,-1,1
108673,-3.33029,0.205808,2.8795,-0.167817,321,10,35.2613,0.165039,2.26562,-1,1
132767,-3.44766,0.933561,14.6843,-1.57108,211,10,34.99,0.0849609,0.462891,-1,1
225656,-3.66014,0.987107,19.1955,-0.557739,321,11,40.3,0.090332,1.13281,-1,1
311850,-3.64358,0.374577,7.16462,-1.43742,321,11,40.1582,0.060791,0.267578,-1,1
322446,-2.92722,0.56411,5.28265,1.248,321,9,183.793,0.222656,0.539062,-1,1
442482,-2.81086,0.506023,4.22132,-0.200618,4122,10,29.3516,0.171875,2.67188,-1,1
595900,-3.25224,0.187426,2.42594,2.83117,211,10,38.1718,0.201172,3.95312,-1,1
709516,-2.97445,0.339354,3.33076,2.40486,211,9,28.257,0.237305,1.17969,-1,1
753786,-2.99032,0.716585,7.14521,-2.60861,211,11,14.5584,0.101562,3.46875,-1,1
800249,-3.78579,0.589565,12.9979,-3.09381,411,10,214.534,0.117188,0.1875,-1,1
886065,-3.27886,0.242224,3.21954,-2.90952,211,10,19.2792,0.135742,0.566406,-1,1
907538,-4.1306,0.109402,3.4041,-3.04512,211,8,64.9822,3.45312,0.683594,-1,1
910790,-2.78564,0.317273,2.58131,0.293286,211,11,136.001,0.246094,4.46875,-1,1
1040946,-3.4011,0.546388,8.20417,0.523591,211,10,124.439,0.149414,1.36719,-1,1
1052208,-3.67744,1.2803,25.3308,-1.44626,411,10,65.9408,0.0612793,0.423828,-1,1
1093123,-3.37137,0.265268,3.86663,-1.86729,211,10,49.6893,0.124512,0.910156,-1,1
